component,explained_variance_ratio,cumulative_explained_variance
PC1,0.12859375765761966,0.12859375765761966
PC2,0.10537953277895264,0.23397329043657228
PC3,0.07997204386341843,0.3139453342999907
PC4,0.07478135864987509,0.38872669294986584
PC5,0.05247160328732362,0.4411982962371895
PC6,0.03995465072177749,0.481152946958967
PC7,0.038279491174942185,0.5194324381339092
PC8,0.037775381724341785,0.557207819858251
PC9,0.037036368427182303,0.5942441882854332
PC10,0.035833813213215986,0.6300780014986492
PC11,0.03215672143643524,0.6622347229350845
PC12,0.02779145486418347,0.6900261777992679
PC13,0.025811549973398965,0.7158377277726669
PC14,0.02461686756601958,0.7404545953386864
PC15,0.02412237163264628,0.7645769669713327
PC16,0.022208333545260087,0.7867853005165928
PC17,0.020663999832704123,0.807449300349297
PC18,0.02032887218471693,0.8277781725340139
PC19,0.02010728956338672,0.8478854620974006
PC20,0.02009743084309298,0.8679828929404936
PC21,0.020003479806523092,0.8879863727470166
PC22,0.015541613558946961,0.9035279863059636
PC23,0.015409092470533122,0.9189370787764968
PC24,0.012562751213268603,0.9314998299897653
PC25,0.011539547820493533,0.9430393778102588
PC26,0.010127549448899844,0.9531669272591586
PC27,0.005573826606670071,0.9587407538658287
PC28,0.005463286326731956,0.9642040401925607
PC29,0.004707083500250984,0.9689111236928116
PC30,0.00447722357025947,0.9733883472630711
PC31,0.004422507181699797,0.9778108544447709
PC32,0.00433333304943342,0.9821441874942043
PC33,0.004258506613337317,0.9864026941075416
PC34,0.004194362841259043,0.9905970569488006
PC35,0.0041183281626613,0.994715385111462
PC36,0.0030423583827030825,0.997757743494165
PC37,0.0011910328316384862,0.9989487763258035
PC38,0.0010512236741962505,0.9999999999999998
PC39,8.909659184864555e-18,0.9999999999999998
PC40,6.873887810832393e-18,0.9999999999999998
PC41,3.674480070920414e-18,0.9999999999999998
PC42,3.466328900431592e-18,0.9999999999999998
PC43,2.9339305877271555e-18,0.9999999999999998
PC44,2.284386389950976e-18,0.9999999999999998
PC45,1.1578648607868084e-18,0.9999999999999998
PC46,0.0,0.9999999999999998
PC47,0.0,0.9999999999999998
PC48,0.0,0.9999999999999998
PC49,0.0,0.9999999999999998
PC50,0.0,0.9999999999999998
PC51,0.0,0.9999999999999998
PC52,0.0,0.9999999999999998
PC53,0.0,0.9999999999999998
PC54,0.0,0.9999999999999998
