feature,mean_importance,std_importance
Contract,0.2926738564522126,0.008133916168135958
Partner,0.004162284956951523,0.0016770487679337938
OnlineBackup,0.0010589482705877008,0.00037867569679282236
Dependents,0.000926929737142479,0.0009199697576526644
tenure,0.0008640423128732477,0.0011093209787654192
SeniorCitizen,0.0007779502658313176,0.0009826132631644627
TotalCharges,0.0002006668834791725,0.0009068083728495306
StreamingMovies,0.0001169564482057961,0.0006000499432792919
MonthlyCharges,3.38253239031916e-05,0.0003897234606657184
MultipleLines,-3.508049767297905e-06,0.0005927086553464287
DeviceProtection,-4.85977536572868e-06,1.2939546105504762e-05
OnlineSecurity,-2.6648304654530718e-05,0.0007415682416651202
PaperlessBilling,-0.00041636366825497094,0.000538944513140484
InternetService,-0.0005805017766341347,0.0006861614088127884
gender,-0.0006193477956171866,0.00037124578281629033
PhoneService,-0.0009210722595493825,0.00012743916440942571
StreamingTV,-0.000940414809183765,0.0006116695542763437
PaymentMethod,-0.0010056838452216833,0.0010931504401280336
TechSupport,-0.003648532677724958,0.001073917230915853
